Head,Relation,Tail
Emepronium,INTERACTS_WITH,Dihydroetorphine
Abciximab,INTERACTS_WITH,Estradiol valerate
Thiazinam,INTERACTS_WITH,Propranolol
Quinapril,IN_PRODUCT,Accupril Tab 40mg
Rivoglitazone,INTERACTS_WITH,Olanzapine
Nivolumab,IN_PRODUCT,Opdivo Vial
Glyburide,INTERACTS_WITH,Olmesartan
Sugammadex,INTERACTS_WITH,Norethisterone
Grapiprant,INTERACTS_WITH,Favipiravir
Piritramide,INTERACTS_WITH,Dronabinol
Synephrine,INTERACTS_WITH,Mecamylamine
Care One Medicated,MANUFACTURED_BY,American Sales Company
Atracurium,INTERACTS_WITH,Paromomycin
5846.05,AVAILABLE_AT,Costco
Fosaprepitant,INTERACTS_WITH,Etravirine
Bazedoxifene,INTERACTS_WITH,Dasabuvir
Chromic nitrate,INTERACTS_WITH,Cefotetan
Rusalatide acetate,INTERACTS_WITH,Dextran
Posaconazole,IN_PRODUCT,Sandoz Posaconazole
PRX-08066,INTERACTS_WITH,Biperiden
Peruvoside,INTERACTS_WITH,Clonidine
osteoarthritis susceptibility 1,TREATED_BY,Etanercept
1826.44,AVAILABLE_AT,Target (CVS)
Sulesomab,INTERACTS_WITH,Bectumomab
Ginkgo biloba,INTERACTS_WITH,Bivalirudin
575.911,AVAILABLE_AT,Albertsons (Sav-on)
Biricodar,INTERACTS_WITH,Odanacatib
CVS Maximum Strength LIDOCAINE PLUS,MANUFACTURED_BY,CVS Pharmacy Inc.
Ertugliflozin,INTERACTS_WITH,Trimipramine
Parnaparin,INTERACTS_WITH,Estradiol benzoate
Sibrotuzumab,INTERACTS_WITH,Ranibizumab
Ozanimod,INTERACTS_WITH,Penicillamine
01 Balancing Foundation SPF 15,MANUFACTURED_BY,"The Body Shop, Wake Forest"
Cefamandole nafate,INTERACTS_WITH,Dabigatran etexilate
Setrobuvir,INTERACTS_WITH,Pioglitazone
Interferon alfa-2b,INTERACTS_WITH,Daclizumab
BCG vaccine,INTERACTS_WITH,Cefotaxime
Namilumab,INTERACTS_WITH,IGN311
Iothalamic acid,INTERACTS_WITH,Cefmetazole
enthesopathy,TREATED_BY,Prednisolone
Vilazodone,INTERACTS_WITH,Olmesartan
84.202,AVAILABLE_AT,Pavilions Pharmacy
Sisomicin,INTERACTS_WITH,Clometocillin
69.9008,AVAILABLE_AT,"Community, a Walgreens Pharmacy"
Poliovirus type 3 antigen (formaldehyde inactivated),IN_PRODUCT,Pentacel
GI-5005,INTERACTS_WITH,Mycophenolate mofetil
Pitolisant,INTERACTS_WITH,Ritanserin
Pertussis vaccine,INTERACTS_WITH,Hydroxyurea
Dinoprostone,INTERACTS_WITH,Famotidine
Trastuzumab,IN_PRODUCT,Kanjinti
Atracurium,INTERACTS_WITH,Rolitetracycline
Mepartricin,INTERACTS_WITH,Terguride
Bromperidol,INTERACTS_WITH,Ritanserin
263.947,AVAILABLE_AT,CVS Pharmacy
4-Hydroxytestosterone,INTERACTS_WITH,Fluocinolone acetonide
176.099,AVAILABLE_AT,Vons Pharmacy
Ebselen,INTERACTS_WITH,Norepinephrine
Lanreotide,INTERACTS_WITH,Midazolam
Rivastigmine Teva,HAS_PRICE,108.672
Dihydroergocryptine,INTERACTS_WITH,Bendroflumethiazide
Amphotericin B,INTERACTS_WITH,Digitoxin
Thyrotropin alfa,INTERACTS_WITH,Estradiol valerate
Agomelatine,INTERACTS_WITH,Sibutramine
Cetirizine,INTERACTS_WITH,"2,5-Dimethoxy-4-ethylamphetamine"
Dupilumab,INTERACTS_WITH,AMG 108
Ditiocarb,INTERACTS_WITH,Norethisterone
Acetylcholine,IN_PRODUCT,Miochol E
Batefenterol,INTERACTS_WITH,Atosiban
Bepridil,INTERACTS_WITH,Atipamezole
Rufinamide,INTERACTS_WITH,Methotrimeprazine
Ertapenem,INTERACTS_WITH,Mesalazine
Succinylsulfathiazole,INTERACTS_WITH,Benfluorex
Bromotheophylline,INTERACTS_WITH,Quinidine
Pamrevlumab,INTERACTS_WITH,Afelimomab
Spiradoline,INTERACTS_WITH,Efonidipine
Magnesium salicylate,INTERACTS_WITH,Phenylpropanolamine
Adefovir,INTERACTS_WITH,Mannitol
Arrhenatherum elatius pollen,INTERACTS_WITH,Moexipril
27.886,AVAILABLE_AT,Albertsons (Sav-on)
Dothelle DHA,MANUFACTURED_BY,"Method Pharmaceuticals, LLC"
8.1292,AVAILABLE_AT,Pavilions Pharmacy
Lidocaine,IN_PRODUCT,Zingo
Ethosuximide,INTERACTS_WITH,Boceprevir
Mitotane,INTERACTS_WITH,Praziquantel
31.9952,AVAILABLE_AT,Walmart Neighborhood Market
Vardenafil,INTERACTS_WITH,Pazopanib
Atipamezole,INTERACTS_WITH,Atenolol
Dacarbazine,INTERACTS_WITH,Peginterferon alfa-2a
Vincamine,INTERACTS_WITH,Atropine
Hexobarbital,INTERACTS_WITH,Dapoxetine
Magnesium peroxide,INTERACTS_WITH,Tramadol
Hyaluronidase,INTERACTS_WITH,Cetirizine
Morniflumate,INTERACTS_WITH,Remifentanil
Ioflupane I-123,INTERACTS_WITH,Iofetamine I-123
Odanacatib,INTERACTS_WITH,Phenobarbital
Pantothenic acid,INTERACTS_WITH,Anistreplase
Botulinum toxin type A,INTERACTS_WITH,Ziprasidone
Acid Concentrate (r04146),MANUFACTURED_BY,Genpharm Ulc
696.32,AVAILABLE_AT,Walmart
Trexall,HAS_PRICE,144.231
Bleselumab,INTERACTS_WITH,Vincristine
Susoctocog alfa,INTERACTS_WITH,Aprotinin
Scopolamine,IN_PRODUCT,Donnatal
Cyclacillin,INTERACTS_WITH,Progesterone
Colesevelam,INTERACTS_WITH,Fenofibrate
MMDA,INTERACTS_WITH,Tolonidine
Apalutamide,INTERACTS_WITH,Capromab pendetide
Mangafodipir,INTERACTS_WITH,Lumiracoxib
Pertussis vaccine,INTERACTS_WITH,Azacitidine
Scopolamine,INTERACTS_WITH,Phenoperidine
Alvimopan,INTERACTS_WITH,Benzhydrocodone
Dextofisopam,INTERACTS_WITH,Nefazodone
Topotecan,IN_PRODUCT,Topotecan Actavis
Magnesium aspartate,INTERACTS_WITH,Ethosuximide
Ethyl loflazepate,INTERACTS_WITH,Glycopyrronium
Gastric inhibitory polypeptide,INTERACTS_WITH,Difloxacin
Sucralfate,INTERACTS_WITH,Clorindione
YKP-1358,INTERACTS_WITH,Oxybutynin
Quinagolide,INTERACTS_WITH,Rotigotine
Oritavancin,INTERACTS_WITH,Phenindione
Hydroxocobalamin,INTERACTS_WITH,Nimesulide
Aclidinium,INTERACTS_WITH,Revefenacin
"3,5-diiodothyropropionic acid",INTERACTS_WITH,Geldanamycin
diffuse large B-cell lymphoma,TREATED_BY,Prednisolone
Polyethylene glycol 400,INTERACTS_WITH,Lexaptepid Pegol
Nitroprusside,INTERACTS_WITH,MMDA
TG4010,INTERACTS_WITH,Methimazole
Metocurine iodide,INTERACTS_WITH,Magnesium sulfate
Borage oil,INTERACTS_WITH,Valpromide
Riboflavin,INTERACTS_WITH,Alprostadil
Darifenacin,INTERACTS_WITH,Tropatepine
Fluperolone,INTERACTS_WITH,Adalimumab
Aloglutamol,INTERACTS_WITH,Ledipasvir
Diflunisal,INTERACTS_WITH,Lisuride
Betapace,HAS_PRICE,21.0752
Influenza B virus B/Brisbane/60/2008 hemagglutinin antigen (formaldehyde inactivated),INTERACTS_WITH,Linezolid
Luliconazole,INTERACTS_WITH,Lynestrenol
Acipimox,INTERACTS_WITH,Propylthiouracil
Fexofenadine,INTERACTS_WITH,Tenoxicam
Oxazepam,INTERACTS_WITH,Hydrocodone
Collagenase clostridium histolyticum,INTERACTS_WITH,Tinzaparin
Onartuzumab,INTERACTS_WITH,Indium In-111 satumomab pendetide
Bromelains,IN_PRODUCT,Bromelain Tablet 500mg
Thiothixene,INTERACTS_WITH,Magnesium sulfate
Flucytosine,INTERACTS_WITH,Busulfan
Vanucizumab,INTERACTS_WITH,Caplacizumab
Bivatuzumab,INTERACTS_WITH,IPH 2101
Sulbactam,INTERACTS_WITH,Cefadroxil
Carboplatin,INTERACTS_WITH,Fluorouracil
"Ap 22% (regular,sport,musk and Unscented)",MANUFACTURED_BY,H.J. Sutton Industries Ltd.
Heptabarbital,INTERACTS_WITH,Methadone
Guanoclor,INTERACTS_WITH,Quinidine
Mebutamate,INTERACTS_WITH,Dapoxetine
Darolutamide,IN_PRODUCT,Nubeqa
Ditiocarb,INTERACTS_WITH,Maraviroc
p-Coumaric acid,INTERACTS_WITH,Ampicillin
Chloral hydrate,INTERACTS_WITH,(S)-Warfarin
Darifenacin,INTERACTS_WITH,Botulinum toxin type A
4.6826,AVAILABLE_AT,Costco
2.5% Travasol Amino Acid Injection With Electrolytes In 10% Dextrose Clinimix,MANUFACTURED_BY,Baxter Corporation Clintec Nutrition Division
Amoxicillin,INTERACTS_WITH,(S)-Warfarin
Pancuronium,INTERACTS_WITH,Mianserin
Huperzine A,INTERACTS_WITH,Mecamylamine
Capmatinib,INTERACTS_WITH,Flunarizine
Serevent,HAS_PRICE,421.182
Gadoxetic acid,INTERACTS_WITH,Venetoclax
Elvitegravir,INTERACTS_WITH,Milnacipran
Macrodantin,HAS_PRICE,20.0483
Hyaluronidase,INTERACTS_WITH,Prednylidene
Bismuth subgallate,INTERACTS_WITH,Hydrochlorothiazide
Eptifibatide,IN_PRODUCT,Eptifibatide
Succinic acid,INTERACTS_WITH,Teriflunomide
Betaxolol,INTERACTS_WITH,Finasteride
Ibuproxam,INTERACTS_WITH,Minaprine
Darifenacin,INTERACTS_WITH,Metixene
Fluticasone,INTERACTS_WITH,Tioguanine
Lampalizumab,INTERACTS_WITH,Polyestradiol phosphate
Quinupramine,INTERACTS_WITH,Aliskiren
Isepamicin,INTERACTS_WITH,Lanatoside C
Ferrous aspartate,IN_PRODUCT,Ultimate OB DHA
Lorvotuzumab mertansine,INTERACTS_WITH,Ethyl biscoumacetate
Correctol Laxative Tab,MANUFACTURED_BY,"Schering Plough Healthcare Products Canada, A Division Of Schering Canada Inc."
Salinomycin,INTERACTS_WITH,Dicoumarol
Mitomycin,INTERACTS_WITH,Daunorubicin
Sulfaphenazole,INTERACTS_WITH,Tolterodine
21.2166,AVAILABLE_AT,Pavilions Pharmacy
Enokizumab,INTERACTS_WITH,Basiliximab
Regorafenib,INTERACTS_WITH,Bretylium
Aloxiprin,INTERACTS_WITH,Mercaptopurine
Guanadrel,INTERACTS_WITH,Pizotifen
34.6797,AVAILABLE_AT,Vons Pharmacy
Dextofisopam,INTERACTS_WITH,Buclizine
Etoricoxib,INTERACTS_WITH,Norepinephrine
Dienestrol,INTERACTS_WITH,Matuzumab
623.166,AVAILABLE_AT,Pavilions Pharmacy
Tramiprosate,INTERACTS_WITH,Profenamine
Ubidecarenone,INTERACTS_WITH,Insulin pork
Magnesium hydroxide,INTERACTS_WITH,Pazopanib
Tiletamine,INTERACTS_WITH,Zolpidem
Mitoxantrone Injection,MANUFACTURED_BY,TEVA Canada Limited
Probenecid,IN_PRODUCT,Probenecid
Amerge,HAS_PRICE,121.21
Arotinolol,INTERACTS_WITH,Meloxicam
Ellagic acid,INTERACTS_WITH,Enasidenib
Propranolol,INTERACTS_WITH,Ivabradine
Technetium Tc-99m exametazime,INTERACTS_WITH,Tenoxicam
Fesoterodine,INTERACTS_WITH,Clarithromycin
Duloxetine,INTERACTS_WITH,Thioridazine
Anagliptin,INTERACTS_WITH,Amitriptyline
Carafate,HAS_PRICE,35.58
Pirlimycin,INTERACTS_WITH,Trifluoperazine
Alavert,HAS_PRICE,13.1536
Magnesium carbonate,IN_PRODUCT,CVS Health Extra Strength Antacid
prolactin producing pituitary tumor,TREATED_BY,Bromocriptine
Acetylcysteine,INTERACTS_WITH,Erythromycin
"7,9-Dimethylguanine",INTERACTS_WITH,Celiprolol
Rolipram,INTERACTS_WITH,Tiotropium
Levocabastine,INTERACTS_WITH,Doxepin
Piritramide,INTERACTS_WITH,Normethadone
Tiletamine,INTERACTS_WITH,Biperiden
Trifluoperazine,IN_PRODUCT,PMS-trifluoperazine HCl Syr 1.18mg/ml
Canasa,HAS_PRICE,272.397
Tecovirimat,INTERACTS_WITH,Silibinin
Suprax,HAS_PRICE,115.3
Niclosamide,INTERACTS_WITH,Duloxetine
Ronifibrate,INTERACTS_WITH,Lovastatin
Lofexidine,INTERACTS_WITH,Linsidomine
Ryvent,HAS_PRICE,176.037
Clindamycin,IN_PRODUCT,Cleocin PHOSPHATE Vial With Threaded Port
Zalcitabine,INTERACTS_WITH,Methazolamide
Toloxatone,INTERACTS_WITH,Methotrimeprazine
Bosentan,INTERACTS_WITH,Aripiprazole lauroxil
Carisbamate,INTERACTS_WITH,Biperiden
Vintafolide,INTERACTS_WITH,Miocamycin
Eszopiclone,INTERACTS_WITH,Rutin
Dacarbazine,INTERACTS_WITH,Interferon alfacon-1
Ferric oxyhydroxide,INTERACTS_WITH,Sarafloxacin
Certolizumab pegol,INTERACTS_WITH,Procarbazine
Ficlatuzumab,INTERACTS_WITH,Mestranol
Tabalumab,INTERACTS_WITH,Muromonab
Glatiramer,INTERACTS_WITH,Triamcinolone
Benazeprilat,INTERACTS_WITH,Clenbuterol
PEV3A,INTERACTS_WITH,Hydroxyurea
Chlorproethazine,INTERACTS_WITH,Paroxetine
Piribedil,INTERACTS_WITH,Pipotiazine
Troleandomycin,INTERACTS_WITH,Fesoterodine
Ouabain,INTERACTS_WITH,Pravastatin
Ketamine Hydrochloride,MANUFACTURED_BY,Bedford Pharmaceuticals
Phenolphthalein,INTERACTS_WITH,Cocaine
Xentuzumab,INTERACTS_WITH,Lumiliximab
EnBrace HR,MANUFACTURED_BY,"Jaymac Pharmaceuticals, Llc"
Chromium gluconate,INTERACTS_WITH,Lumiracoxib
Ethinylestradiol,INTERACTS_WITH,Gavestinel
Roxicodone,HAS_PRICE,8.788
Delatestryl,MANUFACTURED_BY,Endo Pharmaceuticals Solutions Inc.
Ethambutol Hydrochloride,MANUFACTURED_BY,Clinical Solutions Wholsesale
24.473,AVAILABLE_AT,Walmart Neighborhood Market
Chromous sulfate,INTERACTS_WITH,Mefenamic acid
Emetonium iodide,INTERACTS_WITH,Codeine
Magnesium chloride,INTERACTS_WITH,Rapacuronium
Norethisterone,INTERACTS_WITH,Fluticasone propionate
Folic acid,INTERACTS_WITH,Beclomethasone dipropionate
Xentuzumab,INTERACTS_WITH,Abciximab
Sonidegib,INTERACTS_WITH,Pegvisomant
Sulindac,IN_PRODUCT,Apo-sulin Tab 150mg
Prazosin,INTERACTS_WITH,Moxisylyte
Plecanatide,INTERACTS_WITH,Doxacurium
Prednylidene,INTERACTS_WITH,Mycophenolic acid
Lefamulin,INTERACTS_WITH,Sulfinpyrazone
36.58,AVAILABLE_AT,CVS Pharmacy
Rociverine,INTERACTS_WITH,Codeine
6.6102,AVAILABLE_AT,Ralphs
Influenza A virus A/Switzerland/9715293/2013 NIB-88 (H3N2) antigen (formaldehyde inactivated),IN_PRODUCT,Fluarix 2015/2016
Lofepramine,INTERACTS_WITH,Fenoldopam
Sirukumab,INTERACTS_WITH,Busulfan
Peppermint oil,INTERACTS_WITH,Fluoxetine
Bicifadine,INTERACTS_WITH,Methotrimeprazine
Ofatumumab,INTERACTS_WITH,Darbepoetin alfa
Influenza A virus A/California/7/2009 X-181 (H1N1) antigen (propiolactone inactivated),INTERACTS_WITH,Interferon alfa-2b
schizophrenia,TREATED_BY,Carbamazepine
9-Deazaguanine,INTERACTS_WITH,"2,5-Dimethoxy-4-ethylamphetamine"
Zeaxanthin,IN_PRODUCT,Tozal
Amphotericin B,INTERACTS_WITH,Fluclorolone
Glipizide,INTERACTS_WITH,Quinethazone
Salmon calcitonin,INTERACTS_WITH,Cefoxitin
Ethyl biscoumacetate,INTERACTS_WITH,Prednisolone phosphate
Moroctocog alfa,INTERACTS_WITH,Acetylsalicylic acid
35.61,AVAILABLE_AT,Rite Aid
Sulfinpyrazone,IN_PRODUCT,Sulfinpyrazone 200 Tab
Darbepoetin alfa,INTERACTS_WITH,Pegaspargase
Valaciclovir,INTERACTS_WITH,Cidofovir
Nordazepam,INTERACTS_WITH,Trihexyphenidyl
313.222,AVAILABLE_AT,CVS Pharmacy
Pertussis vaccine,INTERACTS_WITH,Tretinoin
Secukinumab,INTERACTS_WITH,Interferon alfa
Amrinone,INTERACTS_WITH,Cefprozil
Mivacurium,INTERACTS_WITH,Sodium oxybate
Mineral oil,INTERACTS_WITH,Imipramine
Daptomycin,INTERACTS_WITH,Diflunisal
Capsaicin,INTERACTS_WITH,Oxybutynin
Epinephrine,INTERACTS_WITH,Tetrahydropalmatine
Pramipexole,INTERACTS_WITH,Secobarbital
Ganitumab,INTERACTS_WITH,Adalimumab
Betamethasone phosphate,INTERACTS_WITH,Tioclomarol
Desirudin,INTERACTS_WITH,Meloxicam
Obeticholic acid,INTERACTS_WITH,Zinc citrate
Ava-metoprolol,MANUFACTURED_BY,Avanstra Inc
Inebilizumab,INTERACTS_WITH,Bivatuzumab
Insulin tregopil,INTERACTS_WITH,Delafloxacin
Ganciclovir,INTERACTS_WITH,Pentamidine
Oyster,MANUFACTURED_BY,"Nelco Laboratories, Inc."
Hydrocortisone valerate,INTERACTS_WITH,Sotagliflozin
Ocinaplon,INTERACTS_WITH,Droperidol
Lestaurtinib,INTERACTS_WITH,(S)-Warfarin
Dinoprostone,INTERACTS_WITH,Zidovudine
139.262,AVAILABLE_AT,Costco
Cimetropium,INTERACTS_WITH,Lamotrigine
4-hydroxycoumarin,INTERACTS_WITH,Prednisolone
Diastat,HAS_PRICE,256.592
Gatifloxacin,INTERACTS_WITH,Ferric carboxymaltose
Midostaurin,INTERACTS_WITH,Trabectedin
Sulfadicramide,INTERACTS_WITH,Pentamidine
Dihydrocodeine,INTERACTS_WITH,Suvorexant
Porfimer sodium,INTERACTS_WITH,Verteporfin
Antifungal,MANUFACTURED_BY,Rite Aid Corporation
Depatuxizumab mafodotin,INTERACTS_WITH,IGN311
Secobarbital,INTERACTS_WITH,Suvorexant
Sunitinib,INTERACTS_WITH,Mepolizumab
Zinc citrate,INTERACTS_WITH,Ethinylestradiol
35.77,AVAILABLE_AT,Target (CVS)
Egg,MANUFACTURED_BY,"ALK-Abello, Inc."
Clopidogrel Hexal,HAS_PRICE,60.2901
Hydroxychloroquine,INTERACTS_WITH,Rituximab
Alanine,IN_PRODUCT,2.5% Travasol Amino Acid Injection With Electrolytes In 10% Dextrose
Trandolaprilat,INTERACTS_WITH,Carprofen
Damoctocog alfa pegol,INTERACTS_WITH,Polyethylene glycol
20.25,AVAILABLE_AT,CVS Pharmacy
Sulfamethoxypyridazine,INTERACTS_WITH,Mecamylamine
Doxylamine,INTERACTS_WITH,Topiramate
Pantothenic acid,INTERACTS_WITH,Beraprost
Aluminium phosphate,INTERACTS_WITH,BL-1020
Diprenorphine,INTERACTS_WITH,Lofentanil
Imipenem,INTERACTS_WITH,Clozapine
Endometrin,HAS_PRICE,282.386
Micafungin,INTERACTS_WITH,Ethyl biscoumacetate
Methyl-1-testosterone,INTERACTS_WITH,Astaxanthin
Ergoloid mesylate,INTERACTS_WITH,BQ-123
Pimecrolimus,INTERACTS_WITH,Methotrexate
Magnesium gluconate,INTERACTS_WITH,Vitamin D
Giant cell arteritis,TREATED_BY,Sumatriptan
Ornidazole,INTERACTS_WITH,Atracurium besylate
ankylosing spondylitis,TREATED_BY,Ibuprofen
Metocurine,INTERACTS_WITH,Minocycline
Cetrorelix,IN_PRODUCT,Cetrotide
Paclitaxel,IN_PRODUCT,Paclitaxel
Ferrous bisglycinate,IN_PRODUCT,PreGenna
Infliximab,INTERACTS_WITH,Mepolizumab
Interferon alfa,INTERACTS_WITH,Mycophenolate mofetil
Kebuzone,INTERACTS_WITH,Ergotamine
Mineral oil,INTERACTS_WITH,Cycrimine
Caffeine,INTERACTS_WITH,Oxymetazoline
Ferric maltol,INTERACTS_WITH,Lansoprazole
19.6399,AVAILABLE_AT,Rite Aid
Levomilnacipran,INTERACTS_WITH,Conivaptan
Prasugrel,INTERACTS_WITH,Rivaroxaban
Calcium glucoheptonate,INTERACTS_WITH,Eltrombopag
Theodrenaline,INTERACTS_WITH,Nisoldipine
Acetohexamide,INTERACTS_WITH,Trimipramine
Albiglutide,INTERACTS_WITH,Cinoxacin
Tesmilifene,INTERACTS_WITH,Alfuzosin
Efudex,HAS_PRICE,79.31
Alemtuzumab,INTERACTS_WITH,Carbamazepine
Benzylpenicillin,INTERACTS_WITH,Diclofenac
Apixaban,INTERACTS_WITH,4-hydroxycoumarin
Rosoxacin,INTERACTS_WITH,Lixisenatide
Feprazone,INTERACTS_WITH,Nortriptyline
Galantamine,IN_PRODUCT,Apo-galantamine
Varicella Zoster Vaccine (Recombinant),INTERACTS_WITH,Etoposide
brain diseases,TREATED_BY,Rifaximin
Chlordiazepoxide,INTERACTS_WITH,Methantheline
Doripenem,INTERACTS_WITH,Ganciclovir
Medi Peel Herbpirin Salt Toothpas Te,MANUFACTURED_BY,"Skinidea Co.,Ltd."
Atrasentan,INTERACTS_WITH,Conjugated estrogens
Bezafibrate,INTERACTS_WITH,Acenocoumarol
Rozanolixizumab,INTERACTS_WITH,Propylthiouracil
Loratadine,IN_PRODUCT,Wal-itin 10 mg disintegrating tablet
Cabergoline,INTERACTS_WITH,Lercanidipine
Clostridium difficile colitis,TREATED_BY,Fidaxomicin
Tolfenamic acid,INTERACTS_WITH,Hydracarbazine
Human immunoglobulin G,IN_PRODUCT,Bivigam
Niperotidine,INTERACTS_WITH,Memantine
Fenoterol,INTERACTS_WITH,Nicorandil
Motesanib,INTERACTS_WITH,Levothyroxine
Nefiracetam,INTERACTS_WITH,Aclidinium
Tolcapone,INTERACTS_WITH,Thioridazine
25.288,AVAILABLE_AT,CVS Pharmacy
Ferric oxyhydroxide,INTERACTS_WITH,Pipemidic acid
AS-8112,INTERACTS_WITH,Rotigotine
Tioclomarol,INTERACTS_WITH,Deferasirox
Riluzole,INTERACTS_WITH,Sibutramine
Streptozocin,INTERACTS_WITH,Alemtuzumab
Dalvance,HAS_PRICE,5655.68
Anti-Diarrheal,MANUFACTURED_BY,"Lil' Drug Store Products, Inc."
Aruba Aloe Very Water Resistant Sunscreen - For Faces SPF 30,MANUFACTURED_BY,Aruba Aloe Balm NV
Aniracetam,INTERACTS_WITH,Phenindione
Tenofovir alafenamide,INTERACTS_WITH,Methotrexate
Testosterone propionate,INTERACTS_WITH,Naloxone
Diethylcarbamazine,INTERACTS_WITH,Flavoxate
Rauwolfia serpentina root,INTERACTS_WITH,Lisuride
Levacetylmethadol,INTERACTS_WITH,Pseudoephedrine
Tinzaparin,INTERACTS_WITH,Glycochenodeoxycholic Acid
"Snail, unspecified",IN_PRODUCT,Black Snail Collagen EyeCream
Tolfenamic acid,INTERACTS_WITH,Ephedrine
Ingenol mebutate,IN_PRODUCT,Picato
Norethisterone,IN_PRODUCT,Activelle
Sodium bicarbonate,INTERACTS_WITH,Thiazinam
Dinutuximab,INTERACTS_WITH,Methylprednisolone
Spiradoline,INTERACTS_WITH,Cariporide
Livalo,HAS_PRICE,300.83
Dicoumarol,INTERACTS_WITH,Gemcitabine
temporal lobe epilepsy,TREATED_BY,Carbamazepine
Fosinopril,INTERACTS_WITH,Trazodone
Clopidogrel Hexal,HAS_PRICE,17.25
Fusidic acid,INTERACTS_WITH,Naloxegol
Minoxidil,IN_PRODUCT,5% Minoxidil Topical Solution
Bacillus calmette-guerin substrain tice live antigen,INTERACTS_WITH,Anakinra
Prozac,HAS_PRICE,10.0
Dicloxacillin,INTERACTS_WITH,Plazomicin
Choline salicylate,INTERACTS_WITH,Gitoformate
Oxacillin,INTERACTS_WITH,BCG vaccine
Phenindamine,INTERACTS_WITH,Midomafetamine
Pazufloxacin,INTERACTS_WITH,Liraglutide
Guanadrel,INTERACTS_WITH,Methoxyflurane
Lamotrigine,INTERACTS_WITH,Thiopental
Carbromal,INTERACTS_WITH,Anisotropine methylbromide
Azathioprine,MANUFACTURED_BY,Letco Medical
Rosiglitazone,INTERACTS_WITH,Metolazone
Epratuzumab,INTERACTS_WITH,Natalizumab
Ketamine,INTERACTS_WITH,Doxylamine
Tiracizine,INTERACTS_WITH,Ajmaline
Lomefloxacin,INTERACTS_WITH,Ferric cation
Musa acuminata fruit,IN_PRODUCT,Banana
Gemtuzumab ozogamicin,INTERACTS_WITH,Flunisolide
Solaraze,HAS_PRICE,260.71
Metenolone,INTERACTS_WITH,Meprednisone
Blonanserin,INTERACTS_WITH,Minocycline
Procaine benzylpenicillin,INTERACTS_WITH,Norgestrel
