Head,Relation,Tail
Clomocycline,INTERACTS_WITH,Cyclacillin
Acefylline,INTERACTS_WITH,Nylidrin
Ganciclovir,INTERACTS_WITH,Aminohippuric acid
Cefatrizine,INTERACTS_WITH,Mefenamic acid
Amediplase,INTERACTS_WITH,Fenoprofen
BIIB015,INTERACTS_WITH,Estradiol cypionate
Encainide,INTERACTS_WITH,Nifedipine
Simvastatin,IN_PRODUCT,Flolipid
Certoparin,INTERACTS_WITH,Naproxen
Bryostatin 1,INTERACTS_WITH,Zopiclone
Histamine,INTERACTS_WITH,Dopamine
Xipamide,INTERACTS_WITH,Methylphenidate
Labetuzumab,INTERACTS_WITH,Promestriene
Galantamine,INTERACTS_WITH,Pentolinium
Polatuzumab vedotin,INTERACTS_WITH,Iratumumab
Tocofersolan,IN_PRODUCT,Pre-Tabs DHA Prenatal Multi-vitamin/Mineral Supplement with DHA/EPA
Axitinib,INTERACTS_WITH,Ribociclib
Risankizumab,INTERACTS_WITH,Alemtuzumab
Alfaxalone,INTERACTS_WITH,Dapoxetine
Emetonium iodide,INTERACTS_WITH,Metixene
Oxyphencyclimine,INTERACTS_WITH,Levorphanol
Fulranumab,INTERACTS_WITH,Equol
Efavirenz,INTERACTS_WITH,Ibrutinib
Methylprednisolone aceponate,INTERACTS_WITH,Hydroxyprogesterone caproate
Fludarabine,INTERACTS_WITH,Bleomycin
Prothipendyl,INTERACTS_WITH,Oxyphencyclimine
Phenylpropanolamine,INTERACTS_WITH,Fosinoprilat
Vigabatrin,INTERACTS_WITH,Benzquinamide
Dexniguldipine,INTERACTS_WITH,Epicaptopril
Balsalazide,INTERACTS_WITH,Norepinephrine
Nadolol,IN_PRODUCT,Corgard
Styramate,INTERACTS_WITH,Anisotropine methylbromide
Omadacycline,INTERACTS_WITH,Talampicillin
Dapsone,INTERACTS_WITH,Sulfamethoxazole
digitalis toxicity,TREATED_BY,Cholestyramine
Cefpiramide,INTERACTS_WITH,Valdecoxib
Salvia miltiorrhiza root,INTERACTS_WITH,Perindopril
Oxatomide,INTERACTS_WITH,Hyaluronidase (ovine)
Teneligliptin,INTERACTS_WITH,Epitizide
Bezlotoxumab,INTERACTS_WITH,Daclizumab
Isosorbide mononitrate,INTERACTS_WITH,Phenelzine
Clobazam,INTERACTS_WITH,Cloprostenol
Potassium alum,INTERACTS_WITH,Raltegravir
Begelomab,INTERACTS_WITH,Cisplatin
Enprostil,INTERACTS_WITH,Propyphenazone
Eprosartan,INTERACTS_WITH,Methylphenidate
Rizatriptan,INTERACTS_WITH,Esmolol
Cabotegravir,INTERACTS_WITH,Cefotiam
Trifluoperazine,INTERACTS_WITH,Vincamine
Liraglutide,IN_PRODUCT,Victoza 3-Pak Pen Injector
4391.55,AVAILABLE_AT,CVS Pharmacy
Candida,MANUFACTURED_BY,"Allermed Laboratories, Inc."
Ethoxzolamide,INTERACTS_WITH,Mephedrone
Dibenzepin,INTERACTS_WITH,Amlodipine
Indocyanine green acid form,INTERACTS_WITH,Repaglinide
Dapsone,INTERACTS_WITH,Aceprometazine
Betrixaban,IN_PRODUCT,Bevyxxa
Valpromide,INTERACTS_WITH,Minocycline
Phenyl aminosalicylate,INTERACTS_WITH,Protein C
Sulfamethoxypyridazine,INTERACTS_WITH,Linagliptin
Iohexol,INTERACTS_WITH,Barbital
Posaconazole,INTERACTS_WITH,Dihydroergotamine
Imipramine,INTERACTS_WITH,Delapril
Prazosin,INTERACTS_WITH,Opipramol
Calcium carbonate,INTERACTS_WITH,Mesalazine
Magnesium,INTERACTS_WITH,Propiomazine
Capromab pendetide,INTERACTS_WITH,Chlorotrianisene
Rasagiline,INTERACTS_WITH,Idazoxan
71.814,AVAILABLE_AT,Vons Pharmacy
Sparfloxacin,INTERACTS_WITH,Netoglitazone
Rabeprazole,INTERACTS_WITH,Cilostazol
Aprobarbital,INTERACTS_WITH,Ropinirole
Clonixin,INTERACTS_WITH,Selegiline
Dovitinib,INTERACTS_WITH,Atorvastatin
Otilonium,INTERACTS_WITH,Tramadol
417.786,AVAILABLE_AT,Albertsons (Sav-on)
Methenamine,INTERACTS_WITH,Magaldrate
Methotrexate,IN_PRODUCT,Rheumatrex 2.5 mg tablets in a dose pack
Clomocycline,INTERACTS_WITH,Cholestyramine
Propranolol,INTERACTS_WITH,Tetrahydrocannabivarin
Golodirsen,INTERACTS_WITH,Cefepime
Rocuronium,INTERACTS_WITH,Micronomicin
Cerivastatin,INTERACTS_WITH,Diphenadione
2% Lidocaine Hci,MANUFACTURED_BY,"HF Acquisition Co LLC, DBA HealthFirst"
Valaciclovir,INTERACTS_WITH,Avatrombopag
Levoleucovorin,INTERACTS_WITH,Metoprine
Aminoglutethimide,INTERACTS_WITH,Ethinylestradiol
Tylvalosin,INTERACTS_WITH,(S)-Warfarin
Alefacept,INTERACTS_WITH,Dactinomycin
gastrointestinal stromal tumor,TREATED_BY,Regorafenib
Norgestrienone,INTERACTS_WITH,Cholic Acid
Gallopamil,INTERACTS_WITH,Naftopidil
Ramelteon,INTERACTS_WITH,Rofecoxib
Sodium tripolyphosphate,INTERACTS_WITH,Calcium cation
Cefoxitin,INTERACTS_WITH,Indoprofen
Cepeginterferon alfa-2B,INTERACTS_WITH,Cisplatin
Nalidixic acid,INTERACTS_WITH,Gosogliptin
Carfilzomib,INTERACTS_WITH,Melphalan
10.17,AVAILABLE_AT,Pavilions Pharmacy
Lactitol,INTERACTS_WITH,Quetiapine
Eluxadoline,INTERACTS_WITH,Erythromycin
Myambutol,HAS_PRICE,26.28
Eletriptan,INTERACTS_WITH,Methyldopa
Cenicriviroc,INTERACTS_WITH,Vibrio cholerae CVD 103-HgR strain live antigen
Nomegestrol acetate,INTERACTS_WITH,Tazarotene
Amperozide,INTERACTS_WITH,Cocaine
Mecasermin,INTERACTS_WITH,Megestrol acetate
Eravacycline,INTERACTS_WITH,Typhoid vaccine
Zalutumumab,INTERACTS_WITH,Leronlimab
Clinafloxacin,INTERACTS_WITH,Clozapine
gram-negative bacterial infection,TREATED_BY,Cefoxitin
Acotiamide,INTERACTS_WITH,Propiomazine
Protokylol,INTERACTS_WITH,Fludrocortisone
Ataluren,INTERACTS_WITH,Cephalexin
Deacetylbisacodyl,INTERACTS_WITH,Promazine
Cangrelor,INTERACTS_WITH,Naproxen
Ginsenosides,IN_PRODUCT,Ruby Cell 4u Rg3 Pure
Ferrous chloride,INTERACTS_WITH,Pazufloxacin
Anisotropine methylbromide,INTERACTS_WITH,Etorphine
Dotarizine,INTERACTS_WITH,Methotrimeprazine
Avanafil,INTERACTS_WITH,Atenolol
Entecavir,INTERACTS_WITH,Norfloxacin
Lucinactant,INTERACTS_WITH,Ceritinib
537.17,AVAILABLE_AT,Albertsons (Sav-on)
Frovatriptan,INTERACTS_WITH,Nilvadipine
Pemigatinib,INTERACTS_WITH,Verapamil
Dihydrocodeine,INTERACTS_WITH,Succinylcholine
Phenoxybenzamine,INTERACTS_WITH,Macitentan
inflammation,TREATED_BY,Prednisolone
Palbociclib,IN_PRODUCT,Ibrance
Cholestyramine,IN_PRODUCT,Cholestyramine
Plecanatide,INTERACTS_WITH,Mivacurium
Racotumomab,INTERACTS_WITH,Basiliximab
Codeine,INTERACTS_WITH,Zimelidine
Doxorubicin,INTERACTS_WITH,Basiliximab
Thiothixene,INTERACTS_WITH,Methylphenidate
Halcinonide,INTERACTS_WITH,Teneligliptin
Estradiol,INTERACTS_WITH,Epratuzumab
Piroxicam,INTERACTS_WITH,Bitolterol
Desvenlafaxine,INTERACTS_WITH,Zopiclone
Amikacin,INTERACTS_WITH,Digitoxin
Eldecalcitol,INTERACTS_WITH,Calcium
Pamrevlumab,INTERACTS_WITH,Estradiol valerate
Nitroprusside,INTERACTS_WITH,Pergolide
Cibenzoline,INTERACTS_WITH,Vinpocetine
Influenza B virus B/Brisbane/60/2008 antigen (formaldehyde inactivated),INTERACTS_WITH,Daunorubicin
Avibactam,INTERACTS_WITH,Apalutamide
Furafylline,INTERACTS_WITH,Bucindolol
Nonacog beta pegol,INTERACTS_WITH,Tranexamic acid
Andexanet alfa,INTERACTS_WITH,Edoxaban
Calcitriol,INTERACTS_WITH,Calcium glucoheptonate
Tocopherol,INTERACTS_WITH,Metamizole
Norgestimate,INTERACTS_WITH,Aripiprazole
Benzatropine,IN_PRODUCT,Benztropine 2 Tab 2mg
Quingestanol acetate,INTERACTS_WITH,Melagatran
Tetrabenazine,INTERACTS_WITH,Nimodipine
Tertatolol,INTERACTS_WITH,Periciazine
Gadoteric acid,INTERACTS_WITH,Niflumic acid
Allicin,INTERACTS_WITH,Garenoxacin
253.675,AVAILABLE_AT,Pavilions Pharmacy
Dexfenfluramine,INTERACTS_WITH,Deferasirox
Pentostatin,INTERACTS_WITH,Denosumab
Black cohosh,INTERACTS_WITH,Betaxolol
7278.15,AVAILABLE_AT,Target (CVS)
Prasugrel,INTERACTS_WITH,Hexestrol
Fosnetupitant,INTERACTS_WITH,Suvorexant
Potassium acetate,INTERACTS_WITH,Lisinopril
Chromium,IN_PRODUCT,24 Multivitamins + Minerals
Nicergoline,INTERACTS_WITH,Guanethidine
Eplivanserin,INTERACTS_WITH,Terfenadine
Paricalcitol,INTERACTS_WITH,Magnesium orotate
Methylestrenolone,INTERACTS_WITH,Certoparin
19.962,AVAILABLE_AT,Costco
Penicillamine,IN_PRODUCT,Cuprimine
Imidafenacin,INTERACTS_WITH,Glycopyrronium
Magnesium trisilicate,INTERACTS_WITH,Ziprasidone
Photofrin,HAS_SIDE_EFFECT,Photosensitivity reaction
Foscarnet,INTERACTS_WITH,Balsalazide
Cyclandelate,INTERACTS_WITH,Xylometazoline
Alogliptin,INTERACTS_WITH,Levofloxacin
Colesevelam Hydrochloride,MANUFACTURED_BY,"Glenmark Pharmaceuticals Inc.,Usa"
Prostaglandin B2,INTERACTS_WITH,Felbinac
15.822,AVAILABLE_AT,Costco
Sulfadimethoxine,INTERACTS_WITH,Benfluorex
Ifetroban,INTERACTS_WITH,Pentosan polysulfate
Polmacoxib,INTERACTS_WITH,Treprostinil
Tiazofurine,INTERACTS_WITH,Peginesatide
53.2,AVAILABLE_AT,CVS Pharmacy
Sofituzumab vedotin,INTERACTS_WITH,Enokizumab
Dopexamine,INTERACTS_WITH,Dihydralazine
Lomustine,INTERACTS_WITH,Ibritumomab tiuxetan
Dexpramipexole,INTERACTS_WITH,Pimavanserin
Zeranol,INTERACTS_WITH,Girentuximab
GI-5005,INTERACTS_WITH,Carmustine
Detrol LA,MANUFACTURED_BY,Pharmacia & Upjohn Inc
Clothiapine,INTERACTS_WITH,Hydrocodone
Pyrrobutamine,INTERACTS_WITH,Epinephrine
Oregovomab,INTERACTS_WITH,Eculizumab
Corticotropin,INTERACTS_WITH,Zidovudine
Cefapirin,INTERACTS_WITH,Salicylic acid
Formocortal,INTERACTS_WITH,Mycophenolate mofetil
15.424,AVAILABLE_AT,Costco
Fluvoxamine,INTERACTS_WITH,Peginterferon alfa-2b
Patent Blue,INTERACTS_WITH,Racepinephrine
Gemcitabine,INTERACTS_WITH,Lenalidomide
Ferric pyrophosphate,INTERACTS_WITH,Technetium Tc-99m ciprofloxacin
"Ebola Zaire vaccine (live, attenuated)",INTERACTS_WITH,Floxuridine
Cefpiramide,INTERACTS_WITH,Cephaloglycin
Cloprostenol,INTERACTS_WITH,Olsalazine
Sulfamethoxazole,INTERACTS_WITH,Ursodeoxycholic acid
9.9745,AVAILABLE_AT,"Community, a Walgreens Pharmacy"
Penicillin G Acyl-Serine,INTERACTS_WITH,Levomenthol
Sodium fluorophosphate,INTERACTS_WITH,Homatropine methylbromide
Donnagel-PG Liq,MANUFACTURED_BY,Wyeth Ayerst Canada Inc.
Nonacog beta pegol,INTERACTS_WITH,Ticagrelor
Ofloxacin,INTERACTS_WITH,Alogliptin
422.492,AVAILABLE_AT,Pavilions Pharmacy
Secretin porcine,INTERACTS_WITH,Chlorprothixene
Doxefazepam,INTERACTS_WITH,Oxyphencyclimine
Bromazepam,INTERACTS_WITH,Doxylamine
Pazopanib,INTERACTS_WITH,Idarubicin
Human cytomegalovirus immune globulin,INTERACTS_WITH,Conjugated estrogens
Sodium sulfate,INTERACTS_WITH,Pipenzolate
Fish oil,INTERACTS_WITH,Fasudil
Desoximetasone,MANUFACTURED_BY,Perrigo New York Inc.
Zinc ascorbate,INTERACTS_WITH,Zeranol
Safinamide,INTERACTS_WITH,Desmopressin
Ethynodiol diacetate,IN_PRODUCT,Kelnor 1/35
Bevacizumab zirconium Zr-89,INTERACTS_WITH,Antithymocyte immunoglobulin (rabbit)
Icosapent,INTERACTS_WITH,Epicaptopril
Ethinylestradiol,INTERACTS_WITH,Fulvestrant
Levocabastine,INTERACTS_WITH,Seproxetine
Calcium ascorbate,IN_PRODUCT,Calcium Ascorbate 1000mg
Oxybutynin,IN_PRODUCT,Ditropan XL
Dacomitinib,INTERACTS_WITH,Sulfaphenazole
Dulaglutide,INTERACTS_WITH,Benzthiazide
Vinyl ether,INTERACTS_WITH,Tapentadol
Flunarizine,INTERACTS_WITH,Amphetamine
Hydroxychloroquine,INTERACTS_WITH,Muromonab
Tetracycline,INTERACTS_WITH,Iron sucrose
Ipilimumab,INTERACTS_WITH,Hexestrol
Urochloa mutica pollen,INTERACTS_WITH,Propafenone
Hesperetin,INTERACTS_WITH,Tamoxifen
Flucelvax,MANUFACTURED_BY,Novartis Vaccines and Diagnostics GmbH
Phenoxymethylpenicillin,INTERACTS_WITH,Tigecycline
Methitest,HAS_PRICE,2147.81
Praziquantel,INTERACTS_WITH,Simeprevir
Macimorelin,INTERACTS_WITH,Levosimendan
198.95,AVAILABLE_AT,Walgreens
Methylprednisolone,INTERACTS_WITH,Mycophenolic acid
Methsuximide,INTERACTS_WITH,Topotecan
400.0,AVAILABLE_AT,HealthWarehouse
Palonosetron,INTERACTS_WITH,Sertraline
Vitespen,INTERACTS_WITH,Raltitrexed
Dusigitumab,INTERACTS_WITH,Lumiliximab
Mephentermine,INTERACTS_WITH,Tolonidine
Carya tomentosa pollen,IN_PRODUCT,Treatment Set TS329240
Desflurane,INTERACTS_WITH,Atenolol
Gatifloxacin,INTERACTS_WITH,Ferric pyrophosphate citrate
Riopan Plus Tablets,MANUFACTURED_BY,Whitehall Robins Inc.
urinary retention,TREATED_BY,Neostigmine
Castor oil,INTERACTS_WITH,Propiverine
"Starch, corn",IN_PRODUCT,Baby Butz
Voriconazole,INTERACTS_WITH,Sonidegib
Atacand,HAS_PRICE,82.3692
Dapsone,INTERACTS_WITH,Chlorpromazine
Ladiratuzumab vedotin,INTERACTS_WITH,Girentuximab
Budesonide,INTERACTS_WITH,Dinutuximab
Crenezumab,INTERACTS_WITH,Infliximab
Anecortave acetate,INTERACTS_WITH,Tiludronic acid
multiple sclerosis,TREATED_BY,Pregabalin
atrial fibrillation,TREATED_BY,Verapamil
Precose,HAS_PRICE,28.8012
Caffeine,INTERACTS_WITH,Ritodrine
Dabrafenib,INTERACTS_WITH,Ranitidine
Desvenlafaxine,INTERACTS_WITH,Ropinirole
Alfentanil,INTERACTS_WITH,Timolol
ORM-12741,INTERACTS_WITH,Midodrine
Lenvatinib,INTERACTS_WITH,Valaciclovir
Magnesium glycinate,INTERACTS_WITH,Dosulepin
Quinagolide,INTERACTS_WITH,Lisuride
Ceftolozane,INTERACTS_WITH,Valaciclovir
Acne Advanced Clarifying Hydrator,MANUFACTURED_BY,Eminence Organic Skin Care Ltd.
Darifenacin,INTERACTS_WITH,Ramosetron
B-100 Hi Potency B Vitamins Tab,MANUFACTURED_BY,"Natrol, Inc."
Metronidazole,INTERACTS_WITH,Primaquine
Cirazoline,INTERACTS_WITH,Bosentan
Aluminium,INTERACTS_WITH,Aceprometazine
Ergometrine,INTERACTS_WITH,Metolazone
Alloin,IN_PRODUCT,Bilex Tab
Cicletanine,INTERACTS_WITH,Tyramine
Hydrocortisone aceponate,INTERACTS_WITH,Raltitrexed
Gadoxetic acid,INTERACTS_WITH,Sacubitril
771.904,AVAILABLE_AT,Vons Pharmacy
Loperamide,INTERACTS_WITH,Efavirenz
Pargyline,INTERACTS_WITH,Rituximab
Venlafaxine,INTERACTS_WITH,Phenylpropanolamine
Talopram,INTERACTS_WITH,Isopropamide
Xylazine,INTERACTS_WITH,Diethylnorspermine
Endralazine,INTERACTS_WITH,Nicergoline
1893.22,AVAILABLE_AT,Target (CVS)
Crenezumab,INTERACTS_WITH,Trastuzumab emtansine
Bopindolol,INTERACTS_WITH,Ruxolitinib
Haemophilus influenzae type B strain 20752 capsular polysaccharide tetanus toxoid conjugate antigen,INTERACTS_WITH,Basiliximab
Sufentanil,INTERACTS_WITH,Temocapril
Carbamazepine,MANUFACTURED_BY,Stat Rx USA
Brotizolam,INTERACTS_WITH,Paroxetine
Aramchol,INTERACTS_WITH,Aluminium phosphate
Lobeline,INTERACTS_WITH,Propafenone
Lorazepam,INTERACTS_WITH,Sibutramine
18-methyl-19-nortestosterone,INTERACTS_WITH,Astaxanthin
Zofenopril,INTERACTS_WITH,Terbutaline
Cepeginterferon alfa-2B,INTERACTS_WITH,Triamcinolone
Interferon alfa-n1,INTERACTS_WITH,Temozolomide
Betamethasone,INTERACTS_WITH,Mitoxantrone
Dexamethasone isonicotinate,INTERACTS_WITH,Dactinomycin
Potassium gluconate,INTERACTS_WITH,Mannitol
Isotretinoin,INTERACTS_WITH,Carboplatin
Esatenolol,INTERACTS_WITH,Amitriptylinoxide
Tyzeka,HAS_PRICE,1127.12
Etybenzatropine,INTERACTS_WITH,"Carfentanil, C-11"
Uric acid,INTERACTS_WITH,Tetryzoline
Donepezil,INTERACTS_WITH,Citalopram
Ebselen,INTERACTS_WITH,Thioridazine
Elvitegravir,INTERACTS_WITH,Barnidipine
Isatuximab,IN_PRODUCT,Sarclisa
Chenodeoxycholic acid,INTERACTS_WITH,Pentosan polysulfate
Irbesartan,IN_PRODUCT,Irbesartan Teva
Ulobetasol,INTERACTS_WITH,Voglibose
126.26,AVAILABLE_AT,Vons Pharmacy
NovoLog,HAS_SIDE_EFFECT,Obstetric procedure complication
Inecalcitol,INTERACTS_WITH,Paricalcitol
255.008,AVAILABLE_AT,Vons Pharmacy
Captopril,INTERACTS_WITH,Phendimetrazine
Antithrombin Alfa,INTERACTS_WITH,Tibolone
Tenidap,INTERACTS_WITH,4-Methoxyamphetamine
Simfibrate,INTERACTS_WITH,Montelukast
Quetiapine,INTERACTS_WITH,Lopinavir
Etonogestrel,INTERACTS_WITH,Cyclacillin
Sertindole,INTERACTS_WITH,Hydrocodone
Esreboxetine,INTERACTS_WITH,Homatropine methylbromide
Danazol,MANUFACTURED_BY,Amerincan Health Packaging
Sulfamerazine,INTERACTS_WITH,Methenamine
Natalizumab,INTERACTS_WITH,Indomethacin
Levothyroxine,INTERACTS_WITH,Afatinib
Lorvotuzumab mertansine,INTERACTS_WITH,Doxofylline
Lansoprazole,INTERACTS_WITH,Gefitinib
Amobarbital,INTERACTS_WITH,Oxycodone
Cefmetazole,INTERACTS_WITH,Meloxicam
Ocufen,HAS_PRICE,25.6355
Yersinia pestis 195/p antigen (formaldehyde inactivated),INTERACTS_WITH,Cyclophosphamide
Phenobarbital,INTERACTS_WITH,Everolimus
Potassium sulfate,INTERACTS_WITH,Metixene
Plecanatide,INTERACTS_WITH,Anisotropine methylbromide
Tariquidar,INTERACTS_WITH,Umeclidinium
Tetanus Immune Globulin,INTERACTS_WITH,Matuzumab
Methoxy polyethylene glycol-epoetin beta,INTERACTS_WITH,Bleomycin
Calcium acetate,INTERACTS_WITH,Demeclocycline
Nonoxynol-9,INTERACTS_WITH,Diazepam
Magnesium lactate,INTERACTS_WITH,Flumequine
Benzydamine,INTERACTS_WITH,Bromocriptine
Ceftazidime,INTERACTS_WITH,Ropivacaine
Doxazosin,INTERACTS_WITH,Risperidone
IPH 2101,INTERACTS_WITH,Fontolizumab
Suxibuzone,INTERACTS_WITH,Clorgiline
Ascrinvacumab,INTERACTS_WITH,Digoxin Immune Fab (Ovine)
Menthodyne Ont,MANUFACTURED_BY,Nature's Way Of Canada Ltd.
18.297,AVAILABLE_AT,Walmart Neighborhood Market
Diflorasone,IN_PRODUCT,Florone
Utomilumab,INTERACTS_WITH,Adecatumumab
"Rabies virus inactivated antigen, A",INTERACTS_WITH,Propylthiouracil
Methotrimeprazine,INTERACTS_WITH,Cabergoline
Brolucizumab,INTERACTS_WITH,Muromonab
Methylnaltrexone,INTERACTS_WITH,Cefradine
Flutamide,INTERACTS_WITH,Tolmetin
Gamolenic acid,INTERACTS_WITH,Oxcarbazepine
Dupilumab,INTERACTS_WITH,Mestranol
481.983,AVAILABLE_AT,Ralphs
1198.49,AVAILABLE_AT,Ralphs
Vandetanib,INTERACTS_WITH,Probucol
Sifalimumab,INTERACTS_WITH,Lumiliximab
Lomitapide,INTERACTS_WITH,Alpelisib
Testolactone,INTERACTS_WITH,Triamterene
Raltegravir,INTERACTS_WITH,Tipranavir
Ramelteon,INTERACTS_WITH,Nabilone
Formestane,INTERACTS_WITH,Fludrocortisone
Fanolesomab,INTERACTS_WITH,Esterified estrogens
Sodium chloride,INTERACTS_WITH,Lithium cation
Potassium triiodide,INTERACTS_WITH,Phenylbutazone
Ciclesonide,INTERACTS_WITH,Nelarabine
Infliximab,IN_PRODUCT,Avsola
Endralazine,INTERACTS_WITH,Trimipramine
Carvedilol,INTERACTS_WITH,Dimetacrine
Mifepristone,INTERACTS_WITH,Olmesartan
Baricitinib,INTERACTS_WITH,Fluocinolone acetonide
Prevnar 13,MANUFACTURED_BY,Pfizer Canada Ulc
Lanopepden,INTERACTS_WITH,Phenprocoumon
Gadoteric acid,INTERACTS_WITH,Cefamandole
Sulfasalazine,INTERACTS_WITH,Procarbazine
Oxiracetam,INTERACTS_WITH,Glycopyrronium
influenza prevention,TREATED_BY,Zanamivir
Isoniazid,INTERACTS_WITH,Ivacaftor
Dextran,IN_PRODUCT,Assured Advanced Relief Eye
UroXatral,HAS_PRICE,52.508
Lisinopril,HAS_SIDE_EFFECT,Bladder pain
Olanzapine Teva,HAS_PRICE,306.331
83.6614,AVAILABLE_AT,Albertsons (Sav-on)
Cenobamate,INTERACTS_WITH,9-Deazaguanine
Givinostat,INTERACTS_WITH,Clarithromycin
Protein C,INTERACTS_WITH,Phenylbutazone
Chromium gluconate,INTERACTS_WITH,Etacrynic acid
Iobenguane,INTERACTS_WITH,Reserpine
Methocarbamol,INTERACTS_WITH,Cyproheptadine
8-azaguanine,INTERACTS_WITH,Iofetamine I-123
Amitiza,MANUFACTURED_BY,Lake Erie Medical DBA Quality Care Products LLC
Tolcapone,INTERACTS_WITH,Risperidone
Palmidrol,INTERACTS_WITH,Oxitropium
Asunercept,INTERACTS_WITH,Alemtuzumab
Implanon,HAS_SIDE_EFFECT,Implant site reaction
Allopurinol,INTERACTS_WITH,Chlorpropamide
1081.21,AVAILABLE_AT,Albertsons (Sav-on)
Demecarium,INTERACTS_WITH,Dicyclomine
Dexedrine,HAS_PRICE,62.86
Pascopyrum smithii pollen,IN_PRODUCT,Treatment Set TS344570
Capmatinib,INTERACTS_WITH,9-Methylguanine
Thiothixene,IN_PRODUCT,Thiothixene
